start_latitude,start_longitude,end_latitude,end_longitude,road_type
28.70480923,77.10229609,28.70557034,77.10267768,Street
28.70496324,77.10157899,28.70548758,77.10186396,Highway
28.70367652,77.10340191,28.70285858,77.10269339,Service Road
28.7044211,77.10203204,28.70348099,77.10144984,Service Road
28.70372479,77.10231109,28.70382286,77.10203818,Street
28.70379112,77.10322552,28.70446718,77.10289815,Service Road
28.70397233,77.10267045,28.70477407,77.10286495,Street
28.70458948,77.10330753,28.70424186,77.10406795,Service Road
28.70441697,77.10177704,28.70518735,77.10108626,Highway
28.70395092,77.1019363,28.70459715,77.10182653,Service Road
28.70377885,77.10170452,28.70315814,77.10214696,Street
28.70504933,77.10276857,28.70488974,77.10205553,Highway
28.70452813,77.10216683,28.70546071,77.10303099,Street
28.70312165,77.1033992,28.7035427,77.10292354,Street
28.70433859,77.10322838,28.7042008,77.10296181,Service Road
28.70463073,77.10215078,28.70505951,77.10158995,Street
28.70366938,77.10268788,28.70275295,77.10261226,Highway
28.70383075,77.10188225,28.70365301,77.10124054,Highway
28.70505567,77.102529,28.70561524,77.10333536,Highway
28.70308318,77.10298775,28.70284427,77.10244682,Highway
28.70400945,77.10309618,28.70338813,77.10373924,Service Road
28.70394462,77.10236235,28.70465246,77.10321722,Street
28.70463093,77.10333143,28.70499824,77.10368945,Street
28.70495496,77.10209771,28.705042,77.10240365,Service Road
28.70325604,77.10299792,28.70279536,77.10236453,Service Road
28.70391174,77.10297189,28.70454541,77.10371089,Service Road
28.70394229,77.10299707,28.70402473,77.10300814,Street
28.70426692,77.10310622,28.70526012,77.10377823,Highway
28.70371195,77.10245045,28.7028377,77.10300326,Service Road
28.70350161,77.10302424,28.70283777,77.10238723,Street
28.70353209,77.10277702,28.70258332,77.10285768,Service Road
28.70420813,77.10271399,28.7039885,77.10331083,Highway
28.70409428,77.10300218,28.7032586,77.10282908,Highway
28.70415859,77.10213465,28.70375047,77.10288153,Service Road
28.70392343,77.10198228,28.70371485,77.10160339,Street
28.70334434,77.10250828,28.70380543,77.10294163,Highway
28.70326819,77.10170283,28.70283416,77.10090141,Street
28.70308539,77.1030809,28.70314687,77.10305195,Street
28.70348979,77.10149747,28.70302427,77.10097296,Highway
28.70334506,77.10205504,28.7034407,77.10131747,Street
28.70464868,77.10249419,28.7040788,77.10198133,Highway
28.7035815,77.1021796,28.70369285,77.10292371,Service Road
28.70473872,77.1017119,28.70454476,77.10131619,Highway
28.7036536,77.10324263,28.70314922,77.10400372,Highway
28.70442055,77.10329613,28.70345087,77.10253762,Street
28.70332879,77.10347574,28.70235366,77.10257071,Service Road
28.70443988,77.10344377,28.70467723,77.10313707,Street
28.70403544,77.10286142,28.70362766,77.10233931,Highway
28.70400832,77.103187,28.70323673,77.10405241,Street
28.70422212,77.10241897,28.70480469,77.10239171,Highway
28.70495194,77.1015578,28.70489997,77.10166116,Service Road
28.70362252,77.10296721,28.70348731,77.10237915,Street
28.70486258,77.10244876,28.70462321,77.10335053,Service Road
28.70440849,77.10293759,28.70380804,77.10266777,Highway
28.704424,77.10297292,28.70504015,77.1035505,Service Road
28.70488729,77.10259111,28.70507437,77.10211262,Service Road
28.70313319,77.10291273,28.70249338,77.10304447,Street
28.70414048,77.10275676,28.70329246,77.1022684,Highway
28.70314602,77.10322193,28.70386872,77.10227367,Service Road
28.70412024,77.10320081,28.70426981,77.10304178,Street
28.7032507,77.10167487,28.70361866,77.10259473,Street
28.70379334,77.10249094,28.70390355,77.1024767,Street
28.70471147,77.1019588,28.70500193,77.10136818,Highway
28.70326102,77.10164255,28.70350155,77.10140161,Service Road
28.70378532,77.10325986,28.70399506,77.10327482,Street
28.70381167,77.10294705,28.70380849,77.10295108,Service Road
28.7037681,77.10180191,28.70469827,77.10134628,Street
28.70412714,77.10213219,28.70446527,77.10312448,Service Road
28.70359417,77.10192915,28.7027491,77.10150684,Highway
28.70459837,77.10254263,28.70414104,77.10342667,Highway
28.70442177,77.1028231,28.70363093,77.10193442,Street
28.70394733,77.10280993,28.70295367,77.10363206,Street
28.7043274,77.10298032,28.70503693,77.10325121,Street
28.70347545,77.10250959,28.7029412,77.10252001,Service Road
28.70321088,77.10174397,28.70363013,77.10136675,Street
28.70500873,77.10191406,28.70520483,77.10138803,Service Road
28.70411671,77.10175278,28.70457603,77.10221259,Street
28.70330233,77.10239257,28.70355772,77.10226512,Street
28.70486511,77.1031086,28.70558064,77.1038669,Street
28.70358672,77.10252734,28.70412356,77.10327705,Street
